station_id,station_name
02306,Hohwacht
02315,Holzdorf (Flugplatz)
02319,Holzkirchen
02323,"Bevern, Kr. Holzminden"
02329,"Homburg, Bad (Filterwerk)"
02331,Homburg/Saar
02338,Hopsten (Flugplatz)
02349,Hornisgrinde
02355,Hude/Oldenburg
02362,Hümmerich
02372,Stützengrün-Hundshübel
02374,Husum
02376,Büchlberg-Tannöd
02385,Idar-Oberstein
02387,Buchloe
02388,Ihringen
02405,Immenstadt-Reute
02409,Ingolstadt (Flussmeisterstelle)
02410,Ingolstadt (Flugplatz)
02412,Inzell
02415,Irschenberg-Kasthub
02416,Isen-Westach
02429,Itzehoe
02431,Itzgrund-Herreth
02437,Schleswig-Jagel
02438,Uckerland-Karlstein
02444,Jena (Sternwarte)
02453,Jettenbach
02456,Jever
02465,Jork-Moorende
02473,Jülich (Kläranlage)
02475,Jüterbog
02480,Kahl/Main
02483,Kahler Asten
02485,Kaisersbach-Cronhütte
02486,Kaiserslautern
02494,Kalkar
02497,Kall-Sistig
02500,"Kaltenborn, Hohe Acht"
02503,Kaltennordheim
02518,Groß Kiesow-Schlagtow
02522,Karlsruhe
02531,Karstädt/Prignitz
02532,Kassel
02538,"Kastl, Kreis Amberg-Sulzbach"
02541,Katzhütte
02542,Kaufbeuren
02546,Kehl-Odelshofen
02550,Kelheim (Kanalschleuse)
02556,Kemnath
02559,Kempten
02562,Helbedündorf-Keula
02564,Kiel-Holtenau
02575,Kirchberg/Jagst-Herboldshausen
02577,"Kirchdorf, Kreis Diepholz"
02578,Kirchdorf/Poel
02595,Kirn
02597,"Kissingen, Bad"
02600,Kitzingen
02601,Kleiner Feldberg/Taunus
02618,Kleiner Inselsberg
02619,"Kleinich, Kr. Bernkastel-Wittlich"
02625,Kleßen
02627,Klettwitz
02629,Kleve
02638,Klippeneck
02641,Klitzschen bei Torgau
02656,Koblenz
02660,Kochel-Einsiedl (Kraftwerk)
02662,Köckte
02667,Köln-Bonn
02673,Königsborn
02677,Königsfeld/Schwarzwald
02680,"Königshofen, Bad"
02689,Königsmoor
02700,Kösching
02703,Köterberg
02704,Köthen (Anhalt)
02708,"Kohlgrub, Bad (Rosshof)"
02709,Kolitzheim
02712,Konstanz
02718,Korbach-Rhena
02733,Kremmen-Groß Ziethen
02734,Krempel
02740,Kreuth-Glashütte
02749,Gersdorf
02750,Kronach
02759,Krün
02763,Norden-Leybuchtpolder
02773,Kümmersbruck
02779,Kuhbier
02787,Kupferzell-Rechbach
02792,Diedorf/Schwaben-Biburg
02794,Kyritz
02796,Laage (Flugplatz)
